FixtureName,Position,XP,InsertDateRounded,current,voltage,pd_current,tempC,Time,SN
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.022272,0.813,4.3627e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.022517,0.813,4.5274999999999996e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.022762,0.815,4.6924e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.023007000000000003,0.815,4.8573e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.023253,0.815,5.022699999999999e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.023498,0.816,5.1881e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.023743,0.817,5.354e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.023988,0.817,5.5194e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.024234000000000002,0.817,5.6847999999999995e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.024418,0.818,5.8512e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.024724,0.819,6.0176e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.02497,0.819,6.184e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.025153,0.82,6.3504e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.025399,0.82,6.5163e-5,40.1,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.025644,0.821,6.6812e-5,40,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.025889,0.821,6.845099999999999e-5,39.9,7500,71026[10]-21-K-10
Fixture2,14,XP-912,2023-11-12T07:00:00Z,0.026135000000000002,0.822,7.007899999999999e-5,40,7500,71026[10]-21-K-10
