current[mA],power[mW],voltage[V],mpd_current[mA]
256,65.121,1.3748,-0.1559
257,65.219,1.3758,-0.1563
258,65.416,1.3770,-0.1567
259,65.613,1.3781,-0.157
260,65.711,1.3792,-0.1573
261,65.933,1.3803,-0.1578
262,66.105,1.3814,-0.158
263,66.228,1.3824,-0.1584
264,66.449,1.3836,-0.1588
265,66.597,1.3846,-0.1591
266,66.769,1.3857,-0.1593
267,66.941,1.3868,-0.1597
268,67.113,1.3879,-0.1601
269,67.285,1.3889,-0.1604
270,67.433,1.3900,-0.1609
271,67.556,1.3911,-0.1612
272,67.777,1.3921,-0.1615
273,67.925,1.3932,-0.1619
274,68.072,1.3943,-0.1622
275,68.244,1.3953,-0.1627
276,68.441,1.3964,-0.1628
277,68.638,1.3975,-0.1633
278,68.761,1.3985,-0.1636
279,68.933,1.3996,-0.1639
280,69.031,1.4006,-0.1642
281,69.253,1.4016,-0.1644
282,69.400,1.4027,-0.1648
283,69.498,1.4037,-0.1652
284,69.695,1.4047,-0.1655
285,69.867,1.4058,-0.1657
286,70.040,1.4068,-0.166
287,70.187,1.4078,-0.1664
288,70.285,1.4088,-0.1668
289,70.531,1.4098,-0.167
290,70.654,1.4109,-0.1674
291,70.826,1.4119,-0.1677
292,70.949,1.4129,-0.1679
293,71.122,1.4139,-0.1682
294,71.220,1.4149,-0.1687
295,71.392,1.4159,-0.1689
296,71.638,1.4169,-0.1693
297,71.736,1.4180,-0.1695
298,71.859,1.4189,-0.1698
299,72.032,1.4199,-0.17
300,72.130,1.4210,-0.1704
301,72.327,1.4219,-0.1705
302,72.474,1.4229,-0.1709
303,72.622,1.4239,-0.1711
304,72.745,1.4249,-0.1714
305,72.868,1.4259,-0.1718
306,73.064,1.4269,-0.1721
307,73.138,1.4278,-0.1723
308,73.360,1.4288,-0.1726
309,73.482,1.4298,-0.1729
310,73.605,1.4307,-0.1732
311,73.778,1.4317,-0.1735
312,73.925,1.4327,-0.1737
313,74.024,1.4337,-0.174
314,74.171,1.4346,-0.1743
315,74.319,1.4356,-0.1745
316,74.442,1.4365,-0.1748
317,74.565,1.4375,-0.1749
318,74.712,1.4385,-0.1753
319,74.860,1.4394,-0.1755
320,75.032,1.4404,-0.1757
321,75.130,1.4413,-0.1761
322,75.302,1.4422,-0.1763
323,75.401,1.4432,-0.1766
324,75.524,1.4441,-0.1769
325,75.622,1.4451,-0.1771
326,75.794,1.4460,-0.1774
327,75.917,1.4469,-0.1777
