current[mA],power[mW],voltage[V],mpd_current[mA]
459,101.592,1.5357,-0.2812
460,101.666,1.5365,-0.2814
461,101.715,1.5374,-0.2814
462,101.764,1.5381,-0.2815
463,101.912,1.5390,-0.2819
464,101.961,1.5398,-0.2821
465,102.034,1.5406,-0.2823
466,102.133,1.5414,-0.2826
467,102.182,1.5422,-0.283
468,102.207,1.5430,-0.2831
469,102.256,1.5438,-0.2835
470,102.428,1.5446,-0.2834
471,102.526,1.5454,-0.2837
472,102.551,1.5462,-0.2838
473,102.625,1.5470,-0.2839
474,102.723,1.5478,-0.2839
475,102.821,1.5487,-0.2842
476,102.871,1.5494,-0.2845
477,102.969,1.5502,-0.2846
478,103.018,1.5510,-0.2849
479,103.043,1.5518,-0.2852
480,103.141,1.5526,-0.2853
481,103.215,1.5534,-0.2854
482,103.289,1.5541,-0.2855
483,103.313,1.5550,-0.2857
484,103.387,1.5557,-0.2859
485,103.510,1.5565,-0.2859
486,103.510,1.5573,-0.2862
487,103.608,1.5580,-0.2865
488,103.682,1.5588,-0.2865
489,103.756,1.5596,-0.2869
490,103.756,1.5604,-0.287
491,103.903,1.5612,-0.2872
492,103.977,1.5619,-0.2872
493,104.002,1.5627,-0.2873
494,104.149,1.5634,-0.2875
495,104.100,1.5642,-0.2878
496,104.272,1.5650,-0.2878
497,104.272,1.5657,-0.2879
498,104.371,1.5665,-0.2881
499,104.420,1.5673,-0.2883
500,104.469,1.5680,-0.2886
