current[mA],power[mW],voltage[V],mpd_current[mA]
277,75.253,1.3672,-0.2537
278,75.425,1.3683,-0.2542
279,75.597,1.3695,-0.2546
280,75.794,1.3707,-0.2554
281,75.966,1.3719,-0.2558
282,76.089,1.3731,-0.2563
283,76.335,1.3743,-0.2569
284,76.532,1.3754,-0.2575
285,76.704,1.3766,-0.258
286,76.950,1.3778,-0.2587
287,77.048,1.3790,-0.2594
288,77.319,1.3802,-0.26
289,77.442,1.3813,-0.2605
290,77.614,1.3825,-0.2611
291,77.860,1.3837,-0.2616
292,78.007,1.3848,-0.2621
293,78.180,1.3860,-0.2628
294,78.327,1.3871,-0.263
295,78.524,1.3883,-0.2636
296,78.696,1.3894,-0.2641
297,78.868,1.3906,-0.2648
298,78.991,1.3917,-0.2651
299,79.188,1.3929,-0.2657
300,79.409,1.3940,-0.2664
301,79.581,1.3951,-0.267
302,79.704,1.3963,-0.2676
303,79.950,1.3974,-0.2682
304,80.098,1.3985,-0.2686
305,80.270,1.3997,-0.269
306,80.393,1.4008,-0.2697
307,80.614,1.4019,-0.2701
308,80.762,1.4031,-0.2705
309,80.983,1.4042,-0.2711
310,81.106,1.4053,-0.2714
311,81.254,1.4064,-0.272
312,81.426,1.4075,-0.2726
313,81.623,1.4086,-0.2729
314,81.746,1.4097,-0.2736
315,81.942,1.4108,-0.274
316,82.139,1.4119,-0.2746
317,82.262,1.4130,-0.2753
318,82.385,1.4142,-0.2756
319,82.557,1.4153,-0.2762
320,82.754,1.4163,-0.2766
321,82.901,1.4174,-0.2771
322,83.049,1.4185,-0.2777
323,83.246,1.4196,-0.2778
324,83.320,1.4206,-0.2783
325,83.590,1.4217,-0.2789
326,83.738,1.4228,-0.2792
327,83.861,1.4239,-0.2798
328,84.033,1.4250,-0.2802
329,84.205,1.4261,-0.2808
330,84.352,1.4271,-0.2812
331,84.451,1.4282,-0.2818
332,84.647,1.4293,-0.2824
333,84.795,1.4304,-0.2827
334,84.943,1.4314,-0.2832
335,85.115,1.4325,-0.2836
336,85.189,1.4335,-0.284
337,85.459,1.4346,-0.2843
338,85.607,1.4357,-0.2848
339,85.730,1.4367,-0.2852
340,85.902,1.4378,-0.2856
341,85.975,1.4389,-0.2862
342,86.221,1.4399,-0.2864
343,86.320,1.4409,-0.287
344,86.492,1.4420,-0.2875
345,86.615,1.4430,-0.288
346,86.787,1.4441,-0.2884
347,86.910,1.4451,-0.2888
348,87.058,1.4461,-0.2892
349,87.230,1.4471,-0.2896
350,87.353,1.4482,-0.2901
351,87.500,1.4492,-0.2903
352,87.599,1.4503,-0.2908
