current[mA],power[mW],voltage[V],mpd_current[mA]
327,84.746,1.4266,-0.1898
328,84.893,1.4276,-0.1901
329,85.066,1.4287,-0.1904
330,85.213,1.4298,-0.1907
331,85.385,1.4308,-0.1912
332,85.533,1.4319,-0.1916
333,85.754,1.4329,-0.1918
334,85.853,1.4340,-0.1921
335,86.000,1.4350,-0.1925
336,86.123,1.4361,-0.1928
337,86.271,1.4371,-0.1932
338,86.443,1.4382,-0.1934
339,86.639,1.4392,-0.1939
340,86.713,1.4402,-0.1941
341,86.885,1.4413,-0.1944
342,87.008,1.4423,-0.1948
343,87.181,1.4433,-0.1951
344,87.303,1.4444,-0.1954
345,87.476,1.4453,-0.1957
346,87.623,1.4464,-0.1961
347,87.746,1.4474,-0.1964
348,87.943,1.4484,-0.1967
349,88.066,1.4494,-0.1969
350,88.213,1.4505,-0.1972
351,88.312,1.4515,-0.1977
352,88.435,1.4525,-0.1979
353,88.656,1.4535,-0.1982
354,88.804,1.4545,-0.1985
355,88.902,1.4555,-0.1987
356,89.025,1.4565,-0.199
357,89.173,1.4575,-0.1993
358,89.320,1.4585,-0.1995
359,89.468,1.4595,-0.1999
360,89.566,1.4605,-0.2003
361,89.714,1.4615,-0.2006
362,89.837,1.4625,-0.2009
363,89.935,1.4635,-0.2013
364,90.132,1.4645,-0.2014
365,90.230,1.4654,-0.2018
366,90.353,1.4664,-0.2019
367,90.574,1.4674,-0.2023
368,90.648,1.4683,-0.2025
369,90.796,1.4693,-0.2028
370,90.943,1.4703,-0.2029
371,91.017,1.4713,-0.2034
372,91.165,1.4723,-0.2037
373,91.312,1.4732,-0.204
374,91.410,1.4742,-0.2043
375,91.533,1.4752,-0.2045
376,91.706,1.4761,-0.2047
377,91.829,1.4771,-0.205
378,91.927,1.4780,-0.2054
379,92.025,1.4790,-0.2057
380,92.197,1.4800,-0.2057
381,92.296,1.4809,-0.2061
382,92.394,1.4819,-0.2062
383,92.566,1.4828,-0.2066
384,92.714,1.4837,-0.2068
385,92.788,1.4847,-0.2071
386,92.911,1.4856,-0.2073
387,93.034,1.4866,-0.2077
388,93.157,1.4875,-0.2078
389,93.230,1.4885,-0.2083
390,93.402,1.4894,-0.2083
391,93.501,1.4904,-0.2088
392,93.575,1.4913,-0.2088
393,93.722,1.4922,-0.2092
394,93.821,1.4931,-0.2094
395,93.943,1.4941,-0.2096
396,94.091,1.4950,-0.2097
397,94.140,1.4959,-0.21
398,94.312,1.4968,-0.2102
399,94.411,1.4978,-0.2105
400,94.607,1.4987,-0.2108
401,94.632,1.4996,-0.211
402,94.730,1.5005,-0.2111
403,94.878,1.5014,-0.2115
404,94.952,1.5023,-0.2116
405,95.075,1.5032,-0.2118
406,95.222,1.5041,-0.212
407,95.321,1.5050,-0.2123
408,95.444,1.5059,-0.2125
409,95.517,1.5068,-0.2126
410,95.640,1.5077,-0.2129
411,95.714,1.5087,-0.2132
412,95.788,1.5095,-0.2134
413,95.911,1.5104,-0.2136
414,96.009,1.5113,-0.2139
415,96.181,1.5122,-0.214
416,96.255,1.5131,-0.2142
417,96.304,1.5140,-0.2144
418,96.501,1.5148,-0.2147
419,96.526,1.5157,-0.2149
420,96.624,1.5166,-0.2151
421,96.821,1.5175,-0.2151
422,96.796,1.5184,-0.2155
423,96.919,1.5192,-0.2157
424,97.042,1.5201,-0.2159
425,97.165,1.5210,-0.2161
426,97.239,1.5219,-0.2162
427,97.386,1.5227,-0.2164
428,97.436,1.5236,-0.2167
429,97.559,1.5244,-0.2168
430,97.657,1.5253,-0.2169
431,97.731,1.5262,-0.2172
432,97.829,1.5271,-0.2174
433,98.001,1.5279,-0.2176
434,97.977,1.5288,-0.2178
435,98.075,1.5296,-0.2179
436,98.198,1.5305,-0.2182
437,98.321,1.5313,-0.2183
438,98.346,1.5322,-0.2185
439,98.444,1.5330,-0.2186
440,98.542,1.5339,-0.2189
441,98.665,1.5347,-0.2189
442,98.739,1.5356,-0.2191
443,98.862,1.5364,-0.2192
444,98.911,1.5372,-0.2193
445,98.985,1.5381,-0.2196
446,99.108,1.5389,-0.2198
447,99.182,1.5397,-0.22
448,99.255,1.5406,-0.2201
449,99.329,1.5414,-0.2203
450,99.403,1.5422,-0.2204
451,99.526,1.5430,-0.2206
452,99.600,1.5439,-0.2206
453,99.698,1.5447,-0.2209
454,99.747,1.5455,-0.2209
455,99.846,1.5463,-0.2211
456,99.919,1.5471,-0.2213
457,100.042,1.5479,-0.2214
458,100.067,1.5488,-0.2215
459,100.141,1.5496,-0.2217
460,100.288,1.5504,-0.2219
461,100.313,1.5512,-0.2221
462,100.387,1.5520,-0.2221
463,100.485,1.5528,-0.2224
464,100.559,1.5536,-0.2225
465,100.608,1.5544,-0.2225
466,100.756,1.5552,-0.2228
467,100.731,1.5560,-0.2227
468,100.805,1.5568,-0.2228
469,100.928,1.5576,-0.223
470,101.026,1.5584,-0.2231
471,101.026,1.5592,-0.2233
472,101.174,1.5600,-0.2234
473,101.248,1.5608,-0.2235
474,101.297,1.5615,-0.2236
475,101.395,1.5623,-0.2238
476,101.444,1.5631,-0.2238
477,101.469,1.5639,-0.224
478,101.543,1.5647,-0.2241
479,101.690,1.5654,-0.2244
480,101.739,1.5663,-0.2244
481,101.813,1.5670,-0.2245
482,101.862,1.5678,-0.2245
483,101.936,1.5686,-0.2246
484,102.034,1.5694,-0.2247
485,102.084,1.5701,-0.225
486,102.157,1.5709,-0.225
487,102.182,1.5717,-0.2251
488,102.207,1.5724,-0.2252
489,102.305,1.5732,-0.2253
490,102.379,1.5740,-0.2254
491,102.453,1.5747,-0.2254
492,102.526,1.5755,-0.2255
493,102.502,1.5762,-0.2256
494,102.575,1.5770,-0.2258
495,102.674,1.5777,-0.2258
496,102.772,1.5785,-0.2259
497,102.797,1.5792,-0.2261
498,102.846,1.5800,-0.2261
499,102.920,1.5807,-0.2262
500,102.993,1.5815,-0.2264
