filename,lotID,SN,tempC,current,power,voltage,group_id
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.071,0,1.04996,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0715,0,1.05104,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.072,0,1.05311,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0725,0,1.05388,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.073,0,1.05338,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0735,0,1.05393,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.074,0,1.05384,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0745,0,1.05357,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.075,0,1.05366,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0755,0,1.05098,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.076,0,1.05087,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0765,0,1.05761,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.077,0,1.05367,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0775,0,1.05489,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.078,0,1.05482,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0785,0,1.04938,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.079,0,1.05369,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0795,0,1.05548,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.08,0,1.05859,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0805,0,1.05704,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.081,0,1.05544,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0815,0,1.05675,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.082,0,1.06353,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0825,0,1.06232,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.083,0,1.05899,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0835,0,1.0573,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.084,0,1.06085,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0845,0,1.0555,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.085,0,1.05744,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0855,0,1.06027,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.086,0,1.07197,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0865,0,1.06583,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.087,0,1.0637,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.0875,0,1.07011,27
P10514-1_767&768_74L_GP03_dat.xls,P10514-1,71635_30-23-74-82,50,0.088,0,1.06209,27
