FixtureName,Position,SN,InsertDateRounded,Burn In,tempC,current,pd_current,voltage
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.041967,1.02613e-4,1.172
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.04215,1.03314e-4,1.173
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.042456,1.0401e-4,1.174
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.042701,1.0470099999999999e-4,1.175
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.042946,1.05392e-4,1.176
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.043191,1.06089e-4,1.177
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.043375000000000004,1.0679e-4,1.179
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.04362,1.0749099999999999e-4,1.18
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.043926,1.08187e-4,1.181
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.044171,1.08878e-4,1.182
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.044416,1.0956399999999998e-4,1.183
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.044661,1.1025e-4,1.184
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.044906,1.10936e-4,1.185
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.04515,1.11621e-4,1.186
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.045395000000000005,1.12307e-4,1.188
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.045579,1.12993e-4,1.189
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.045885,1.1366899999999999e-4,1.19
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.046130000000000004,1.1433899999999999e-4,1.191
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.046375,1.15015e-4,1.192
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.046558999999999996,1.15691e-4,1.193
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.046865000000000004,1.1636599999999999e-4,1.194
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.047048,1.17042e-4,1.196
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.047355,1.17717e-4,1.197
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.047538,1.1839299999999999e-4,1.197
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.047844000000000005,1.19069e-4,1.199
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.048028,1.19744e-4,1.2
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.048334,1.2042e-4,1.2
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.048579000000000004,1.2110599999999999e-4,1.201
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.048763,1.21787e-4,1.203
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.049008,1.22457e-4,1.204
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.049253,1.23122e-4,1.205
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.049498,1.23788e-4,1.206
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.049804,1.24453e-4,1.207
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.049987000000000004,1.25119e-4,1.208
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.050294,1.25784e-4,1.209
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.050477,1.26449e-4,1.21
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.050783,1.27115e-4,1.211
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.051028,1.2778e-4,1.213
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.051273000000000006,1.2843999999999998e-4,1.213
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.051518,1.2910599999999998e-4,1.214
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.051762999999999997,1.29781e-4,1.216
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.052008000000000006,1.3046199999999997e-4,1.217
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.052253,1.31143e-4,1.218
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.052497999999999996,1.31824e-4,1.219
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.052743000000000005,1.3250399999999998e-4,1.22
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.052988,1.33185e-4,1.221
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.053232,1.33866e-4,1.222
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.053477,1.34547e-4,1.223
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.053722000000000006,1.35227e-4,1.224
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.053967,1.35903e-4,1.226
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.054212,1.36579e-4,1.227
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.054457,1.37244e-4,1.227
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.054702,1.37909e-4,1.228
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.054947,1.3857e-4,1.23
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.055130000000000005,1.3922499999999998e-4,1.23
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.055437,1.39875e-4,1.231
Fixture1,2,XP-1176,2024-05-08T17:00:00Z,0,40,0.055682,1.4052000000000002e-4,1.233
