FixtureName,Position,XP,InsertDateRounded,current,voltage,pd_current,tempC,soak,SN
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.025596,1.124,9.390399999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.025841000000000003,1.125,9.515499999999999e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.026085,1.128,9.6412e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.02633,1.129,9.7668e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.026513000000000002,1.131,9.8924e-5,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.026819,1.132,1.00186e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.027003,1.134,1.0145199999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.027309,1.135,1.02724e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.027492000000000003,1.137,1.04001e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.027798,1.139,1.05283e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.028043,1.141,1.06569e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.028226,1.142,1.0786199999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.028532000000000002,1.144,1.09149e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.028777,1.145,1.1043e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.029021,1.147,1.1170699999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.029266,1.148,1.1297899999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.029511,1.151,1.14245e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.029755,1.152,1.15507e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.029939,1.153,1.1676299999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.030245,1.155,1.1801399999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.030489000000000002,1.157,1.19261e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.030734,1.158,1.2050199999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.030979,1.16,1.2173799999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.031224000000000002,1.162,1.22973e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.031407,1.164,1.24209e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.031713000000000005,1.165,1.25445e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.031958,1.167,1.26681e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.032202,1.168,1.27917e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.032386000000000005,1.17,1.29153e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.032692,1.171,1.3038900000000001e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.032936,1.173,1.31625e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.033180999999999995,1.175,1.32861e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.033426000000000004,1.176,1.3409700000000001e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.033609,1.178,1.35333e-4,40,0,HL13B5CP00_L2-52-AD-Qb
Fixture2,2,XP-1182,2024-05-14T15:00:00Z,0.033915,1.179,1.3656899999999999e-4,40,0,HL13B5CP00_L2-52-AD-Qb
